# Anchor classification — one line per module, generated 2026-08-01, kept in
# sync since.
#
# ANCHOR-TASKS.tsv is the single ownership place for current anchor state: it
# is where a task gets closed, and this file's ANCHOR column must be updated to
# match whenever that happens. `zig build check-catalog` enforces this (see
# `checkAnchors` in build.zig) — for any module listed in both files, CLASS and
# ANCHOR must agree, or the build fails naming the module and which column
# drifted. This file used to be allowed to silently lag ANCHOR-TASKS.tsv as a
# "dated snapshot"; that is what let the bookkeeping go stale three times
# (backlog 1B), so the allowance was removed rather than documented further.
#
# ⚠ AGREEING WITH ANCHOR-TASKS.tsv IS NOT THE SAME AS BEING RIGHT. Those two
# checks compare a column against a duplicate of itself, so they are green
# whenever both copies are wrong the same way — and on 2026-08-14 thirty rows
# were exactly that: `SELF` in both files while ANCHOR-TASKS.tsv's own NOTE
# cited the commit that anchored them. All thirty were re-graded from the
# modules' TESTS and all thirty moved to MIXED. `checkAnchors` now also refuses
# SOURCE=DONE beside ANCHOR=SELF and SOURCE=NONE beside ANCHOR=EXTERNAL, which
# are contradictions between two INDEPENDENT facts rather than between copies.
# A grade in this file is still only worth the test file its EVIDENCE names.
#
# CLASS: does this module have an external truth at all?
#   A  wire / interop format — other implementations must byte-agree with it
#   B  published cryptographic or algorithmic construction with published vectors
#   C  internal algorithm or data structure — NO outside exists; correctness is
#      defined by invariants or a brute-force reference. NOT anchor debt.
#   D  our own design — no third party exists to agree with, by construction
#
# ANCHOR (class A and B only): where does the test oracle's authority come from?
#   EXTERNAL   published vectors, goldens captured from a foreign implementation,
#              or a test run against a live foreign peer
#   REDERIVED  an in-house oracle re-deriving the answer by a different route.
#              Catches implementation typos; does NOT catch a shared misreading
#              of the spec. A middle tier — never record it as EXTERNAL.
#   MIXED      anchored for some paths, SELF for others; EVIDENCE names which
#   SELF       round-trip and/or hand-authored fixtures only — the weakest
#
# Five things that look like an anchor and are not (each caught real cases here):
#   1. a sibling module's anchor does not transfer
#   2. reading a foreign implementation's source is not running it
#   3. a live test that skips on this host is not an anchor today
#   4. anchored primitives do not anchor the protocol framing above them
#   5. a prose claim of parity in a README is not an anchor unless the tests
#      actually contain captured bytes or a live check
#
# module	CLASS	ANCHOR	EVIDENCE
geoindex	C	n/a	in-process Hilbert R-tree; naive linear-scan self oracle only (SPEC.md)
groth16	B	MIXED	verifier anchored via bn254 Dark Forest snarkjs KAT; QAP/R1CS layer self-oracle only
grpc	A	EXTERNAL	python grpcio driven as black-box oracle both directions (README/SPEC)
hashdigest	C	n/a	thin streaming wrapper over std.crypto Sha256, no custom crypto (README)
health	D	n/a	own JSON /healthz-/readyz design, k8s model referenced not specced (README)
hpke	B	EXTERNAL	RFC 9180 Appendix A KAT, byte-exact in all 4 modes (README)
hqc	B	EXTERNAL	official NIST KAT, byte-exact pk/sk/ct/ss (README)
http	A	MIXED	HPACK RFC7541 vectors + curl/nghttp2 live interop; h1/smuggling goldens self
chachapoly	B	EXTERNAL	RFC 8439 KATs byte-exact + std oracle differential (README/SPEC)
ibe	B	MIXED	assembly byte-exact vs a genuine drand Go tle ciphertext: ibe.Scheme (comptime ciphersuite seam) driven with drand's parameters reproduces the fixture in kat_test.zig §5, encrypt and decrypt both directions; own DSTs/tags/h3/no-cube remain self-only and are unanchorable by construction (RFC 9380 §3.1 mandates a per-application DST, so no foreign value exists to match)
icmp	A	MIXED	RFC 1071 checksum vector external; v4/v6 wire goldens self; live kernel ping test
idempotency	D	n/a	own design over Stripe/IETF-draft pattern, no byte wire format (SPEC.md)
iec104	A	EXTERNAL	72 byte-exact goldens captured from real c104/lib60870 traffic (SPEC.md)
iec61850	A	EXTERNAL	82+15 goldens captured from libiec61850, live peer both directions (SPEC.md)
iec62351	A	MIXED	RFC4231/GCM+OpenSSL oracle external for MAC; GOOSE frame self, no stack tested
imap	A	EXTERNAL	RFC 3501 worked example, byte-exact, plus a live IMAP server peer (README)
ipcbus	C	n/a	internal unix-socket dispatch loop, framing delegated, no protocol of its own
isis	A	MIXED	Wireshark sharkd validated 5 PDU bodies + TLVs incl. L2 CSNP/PSNP (goldens.zig); long-tail raw-TLV escape hatch stays self-tested
isis-adj	A	MIXED	Wireshark sharkd validated TLV 240 three-way adjacency, all wire states; found+fixed 11-octet BadLength bug
isis-dis	A	MIXED	Wireshark sharkd validated lan_id/priority/Hello codes; DIS election result closed vs 3 real isisd 10.3 instances
isis-flood	A	MIXED	Wireshark sharkd validated CSNP/PSNP content via Scheduler.poll; SRM/SSN flag state + retransmit pace are not wire-observable, stay open
isis-lsdb	A	MIXED	checksum tie-break (§7.3.16.1) cross-checked vs FRR isis_lsp.c; rest of KAT table hand-authored only
isis-sim	C	n/a	composes siblings over netsim; convergence/determinism invariants, no wire format of its own
isis-spf	A	MIXED	5-router topology run once through real isisd 10.3 in-VM, matches vertex-by-vertex modulo documented undirected-engine gap; rest stays SELF
jinja	A	EXTERNAL	golden.json captured from real Python Jinja2 3.1.6 output + live subprocess oracle
jobqueue	C	n/a	internal partition-FIFO dispatch queue; original design, no wire format
json5	A	MIXED	src/json5_tests_test.zig drives preprocess through the upstream json5/json5-tests corpus (src/testdata/json5-tests) honouring its extension convention in both directions, with one known_disagreement pinned; the error-recovery design ($err_trace_N) that root.zig's 27 tests cover is this module's own invention and has no external answer
jsonshape	D	n/a	original jq-style bounded path-projection dialect invented here, not full JSONPath
jwe	A	EXTERNAL	RFC 7516 App A full-token KAT (kat_rfc7516.zig) + RFC 7518 App B/C KATs
jwt	A	EXTERNAL	RFC 7515 A.1-A.3/8037 A.4 full JWS compact-token vectors + PKCE 7636 App B
k256	B	EXTERNAL	official BIP340 vectors (kat_vectors.zig) + bit-exact vs std.crypto.ecc.Secp256k1
kv	C	n/a	embedded Bitcask-style log+keydir store; design references only, no interop target
kvtree	C	n/a	embedded COW B-tree; LMDB/BoltDB design inspiration only, own format
l2disco	A	MIXED	src/capture_test.zig runs 15 real LLDP/CDP/ARP/DHCP frames vendored from tcpdump's own dissector test suite (4 of them upstream crash reproducers) through these decoders; TLV shapes no vendored frame reaches stay hand-transcribed from the specs
l2encap	A	SELF	golden byte-layout KAT hand-authored from spec layouts; SPEC.md: no live-interop surface
l2forward	A	MIXED	narrow and only over defaults: src/root.zig:1304 pins aging_ticks to a live kernel bridge's observed ageing_time (30000 centiseconds) and :1436 pins the MAC-move defaults to RFC 7432 §15.1's stated N=5/M=180. Every FDB/learn/flood/split-horizon DECISION is still graded by this module's own tests; the live bridge's qualitative agreement was not wired in (timing-dependent, SPEC.md)
latency-stats	C	n/a	in-process stats/histogram; hand-computed KAT + sorted-oracle check, no wire format
linkheader	A	MIXED	src/root.zig:541+ reconstructs RFC 8288 §3.5's own worked examples byte-for-byte from the RFC (errata list checked) and asserts the RFC's own stated reading of each; the build direction and every other parse fixture in the file are hand-authored
liveness-hyst	C	n/a	local estimator "modeled after" BFD/Babel; scored via trace corpus + invariants, not wire-compat
llmclient	A	MIXED	src/response.zig:450 parses Anthropic's own published basic-streaming SSE example byte-exact, including a `ping` event no hand-built fixture had; every other fixture is docs-derived and the one live API test is unconditionally SkipZigTest, so it anchors nothing
lninvoice	A	EXTERNAL	BOLT11 + BOLT12 offer/invoice_request/invoice decode+ENCODE all vs lightning/bolts vectors, byte-exact (NOTICE)
lnwire	A	EXTERNAL	BigSize/TLV base wire + BOLT#7 announcements/queries + all BOLT#2 messages vs bolts + rust-lightning msgs.rs, byte-exact
lockfree	C	n/a	canonical class-C case (MPMC queue + EBR); litmus/ = internal weak-memory verification
loopfree-reconv	C	n/a	ordered-FIB scheduling algorithm proven via own loop-freedom invariant, no wire messages
loopix	C	n/a	netsim anonymity simulation of Loopix paper; modeled header, not byte-compat with real Loopix/Nym
mcp	A	MIXED	sampling/elicitation lines byte-identical to spec's own JSON examples; init/tools/resources goldens + peer concept self-only (SPEC.md: "no external anchor")
mcp-http	A	MIXED	src/oracle_vectors.zig freezes one real Streamable-HTTP session with the python MCP SDK and root.zig's `oracle:` tests replay it; the unbacked mcp_dart parity claim was retracted rather than counted, and the remaining HTTP/SSE framing paths are self-tested
megolm	B	MIXED	libolm KAT byte-exact ratchet/message but session.zig 2-sided round-trip is self-only (SPEC grade 3)
metrics	A	MIXED	src/root.zig:1411 -- the test is literally named `external anchor: exposition text independently parsed by prometheus_client` -- freezes what that independent parser extracted from this module's own writeText bytes (families, labels, escapes, cumulative buckets); :1282 additionally accepts Prometheus's published exposition example. The in-house grammar checker was demoted to a syntax check; registry/scrape paths stay self
minisign	A	EXTERNAL	byte-exact vs real minisign 0.12 binary, README
mls	A	EXTERNAL	mlswg/mls-implementations official interop KAT (tree-operations.json etc.)
modbus	A	EXTERNAL	CAPTURED pymodbus 3.14.0 live session, baked-in bytes in goldens.zig
montint	C	n/a	internal Montgomery bignum arithmetic; ground truth is brute-force CPython bignum
mqtt	A	MIXED	src/external_goldens.zig freezes real MQTT 3.1.1 sessions captured through a byte-logging proxy between paho and amqtt -- neither side ours -- covering CONNECT/PUBLISH/SUBSCRIBE and the RETAIN bit; broker.zig session state and topic.zig matching stay self
musig2	B	EXTERNAL	official BIP327 vectors (key_agg/nonce/sig_agg/tweak), NOTICE
netaddr	C	n/a	local RFC 6724 address-selection logic, no wire peer; self-tested only
netconf	A	MIXED	framing.zig RFC 6242 literal examples EXTERNAL; rpc.zig own golden SELF; py oracle skips
netlink	A	EXTERNAL	golden bytes captured from iproute2 via strace+nlmon/tcpdump, SPEC.md
netsim	C	n/a	in-process deterministic sim/test harness, no wire; correctness = determinism/invariants
nftables	A	MIXED	native path anchored by captured real nft traffic; JSON builder path is self golden
nl80211	A	EXTERNAL	goldens captured from real iw under strace; live kernel tests skip cleanly (bonus)
noise	A	EXTERNAL	official cacophony vectors from rweather/noise-c, byte-exact incl. handshake hash
numparse	D	n/a	original design, no external spec/vectors; ICU named as loose model only
ocsp	A	MIXED	request CertID cross-checked by independent extractBits (REDERIVED); responses self-signed fixtures
ocspcache	A	MIXED	src/goldens.zig carries a real www.godaddy.com leaf+issuer and the real OCSP response its responder returned, captured 2026-08-01, exercised through fetch/verify/cache; src/ocspcache_test.zig states in its own header that its byte arrays are NOT captured from a public source but constructed via ocsp's der_writer+rsa, so that half stays self
opaque	A	EXTERNAL	RFC 9807 Appendix C.1 official vectors, full registration/KE1-3/session_key byte-exact
opcua	A	MIXED	P-SHA256/AES KAT EXTERNAL; binary framing self round-trip; open62541 interop skips if unreachable
openapi	A	MIXED	src/root.zig:749+ freezes openapi_spec_validator's verdict on this module's OWN generated document (accepted) and on a deliberately invalid one (rejected, for the same reason validateOpenApi31 reports) -- teeth in both directions; :595 adds the OAI's published v3.1 example. The generator's route-to-path mapping beyond that document is self-graded
oscore	A	EXTERNAL	RFC 8613 Appendix C official vectors (key derivation + protected-message C.4-C.8)
otp	B	EXTERNAL	RFC 4226/6238 appendix vectors embedded byte-exact
p256	B	EXTERNAL	RFC 6979 Appendix A.2.5 ECDSA-P256 vectors; field ops also cross-checked vs std.crypto
pagecache	C	n/a	internal buffer-pool page cache, no wire, LMDB/Postgres named as concept analogues only
paillier	B	EXTERNAL	cross-checked against phe (python-paillier) 1.5.0 real library output
pbb	A	MIXED	Wireshark sharkd validated encode() B-Tag/I-TAG/B-TCI/relocation/ethertype/recursion; no wire bug; UCA/NCA naming resolved 2026-08-06 (kept uca, documented — see ANCHOR-TASKS.tsv)
pir	B	SELF	SPEC.md: no external test vector exists for this DPF construction
pollworker	C	n/a	internal job/event-loop scheduler (single-owner controller), no wire
poseidon	B	EXTERNAL	circomlibjs JSON consts byte-identical (constants_test.zig)
pping	A	MIXED	src/parse.zig:207-224 anchors the TCP Timestamps option parser on 2 real SYN/SYN-ACK captures taken with tcpdump off a genuine loopback handshake, including the tsecr<-tsval echo. Everything above the parser is NOT anchored today: match.matchEcho is a gated Fable stub, so every KAT in src/kat.zig returns error.SkipZigTest and asserts nothing
probe	C	n/a	TCP connect timing via std connect(); no wire codec of its own
procnet	A	EXTERNAL	testdata/*.txt captured from real kernel /proc snapshots (README)
procrun	C	n/a	process reap/spawn robustness util, no wire format
protobuf	A	MIXED	codec goldens hand-transcribed from spec; python-protobuf oracle skips if missing
psbt	A	EXTERNAL	BIP174 vectors + Core rpc_psbt.json + live bitcoind v28 regtest (native P2WPKH/P2WSH captured); every spend shape now anchored
quic-crypto	A	EXTERNAL	RFC 9001 Appendix A vectors verbatim in initial/headerprot/protection.zig
raft	C	n/a	netsim model-checking vs Raft safety properties, no wire byte format
ramcache	C	n/a	pure in-process W-TinyLFU cache, no wire
ratelimit	C	n/a	token-bucket internal utility, no wire
rawsock	A	MIXED	src/root.zig:709+ freezes a real ARP exchange and a real Ethernet/IPv4/ICMP frame captured with tcpdump off a veth pair in an unprivileged netns -- loopback cannot do ARP at all, which is why the pre-existing hand-computed fixture had never met a real L2 segment; the socket send/recv wrappers stay self
rbac	C	n/a	in-process NIST RBAC/XACML decision engine, no wire exchange
rdap	A	MIXED	src/goldens.zig carries a real rdap.publicinterestregistry.org response for iana.org captured live 2026-08-01 (GDPR-redacted handle, nested entities) plus the real IANA bootstrap file; the remaining client fixtures in root.zig are hand-authored
readthrough	C	n/a	singleflight+cache loader, in-process, no wire
reconcilable	C	n/a	in-process reconcile loop modeled after k8s controller-runtime, no wire
requestid	C	n/a	opaque correlation-ID generator/passthrough, no codec
rescue	B	EXTERNAL	RPO's 38 published vectors + miden-crypto's own vectors + Winterfell KAT
resilience	C	n/a	circuit breaker/retry/bulkhead, in-process state machines
ripemd160	B	EXTERNAL	official RIPEMD-160 spec Appendix vectors, incl. million-'a' KAT
router	C	n/a	path trie + middleware dispatch, in-process; wire parsing is sibling http
rsa	B	EXTERNAL	RFC 8017 + OpenSSL/ssh-keygen-generated KATs (root.zig provenance)
s7comm	A	MIXED	classic goldens from snap7 live peer; S7CommPlus body self, rawshark envelope only
saml	A	MIXED	core sig/C14N anchored via openssl+libxml2 fixture; SLO/HoK/artifact self round-trips
sandbox	A	EXTERNAL	seccomp/landlock/rlimit enforcement tested against the real running kernel
sealedbox	B	EXTERNAL	libsodium C lib called via FFI to compute expected ciphertexts (kat_vectors.zig)
security-headers	A	MIXED	src/root.zig:780+ pins header values byte-exact to published third-party literal examples (RFC 7034, RFC 6797, OWASP); root.zig:802 states the counter-case explicitly -- csp_helmet_default remains self-anchored because helmet.js's value was READ, not run, which is not an anchor
seqmap	C	n/a	clean-room internal correlation table (id allocation), no wire format at all
sessions	D	n/a	own session/CSRF design guided by OWASP cheat sheets, no third-party spec
shardstore	C	n/a	internal key-sharding composition over single-writer stores, no wire format
signal	B	MIXED	X3DH agreement+codec only self round-trip; XEdDSA has libsignal KAT (kat_test.zig)
slhdsa	B	EXTERNAL	NIST ACVP FIPS 205 KAT vectors, kat_vectors.zig/kat_test.zig
smtp	A	EXTERNAL	live_golden.zig: byte-exact transcript captured from real aiosmtpd 1.4.6 session
snmp	A	EXTERNAL	interop.zig: byte-exact goldens captured from real net-snmp 5.9.4 exchange
sntp	A	MIXED	src/root.zig:671 decodes one real 48-byte reply captured from time.google.com together with the originate timestamp the request actually sent, so verifyOriginate meets a genuinely echoed value; the live query test is SkipZigTest by design and every other fixture is canned
spake2plus	B	EXTERNAL	RFC 9383 Appendix C official P-256/SHA-256 vector, kat_vectors.zig
spbfib	A	SELF	groupDa: hand-derived worked-example bytes from RFC 6329 formula, not captured
spf-ect	C	n/a	generalized Dijkstra/ECT graph algorithm; brute-force cross-check property tests
sphinx	A	EXTERNAL	official BOLT#4 onion-test.json vector + independent Python rederivation of secrets
ssh	A	MIXED	self loopback client<->server baseline; live OpenSSH interop skips if sshd absent
staticfiles	A	MIXED	src/root.zig:1475+ compares against starlette.staticfiles run once as a black-box Range/ETag/conditional-request oracle (single/open-ended/suffix ranges, multi-range, If-None-Match); If-Range has no oracle available and the path sanitiser is self-graded
stun	A	EXTERNAL	RFC 5769 sections 2.1-2.3 published test vectors, root.zig
syslog	A	MIXED	src/root.zig:157 freezes what a real rsyslogd received and re-rendered over BOTH transports (UDP and TCP octet-counted) for a message carrying quote/backslash/bracket escaping; bsd.zig and the remainder of message.zig are hand-authored fixtures
tabular	C	n/a	internal dataset-algebra library (pandas/dplyr-modeled API), no wire format
taproot	B	EXTERNAL	official BIP341 wallet test vectors, kat_vectors.zig/kat_test.zig
tar	A	MIXED	read path: real GNU tar 1.35 golden header; write path only via skippable live tar test
tc	A	EXTERNAL	netlink datagrams captured from real iproute2 tc via strace, goldens.zig
tcplan	C	n/a	pure Topology->Plan compiler, internal data structure, no wire I/O
tenantkex	D	n/a	own tenant-isolation composition atop noise; sibling's anchor does not transfer
testkit	C	n/a	in-process test-utility layer over std.testing, no wire/crypto
tfhe	B	SELF	no external byte-exact KAT exists (root.zig/gate.zig); cleartext oracle + property tests
threshold_ecdsa	B	SELF	no official KAT exists for GG18/20 (SPEC.md); self-consistency + reject-contract tests
throttle	C	n/a	in-process concurrency-limiter/semaphore algorithm, no wire format
timelock_envelope	B	MIXED	drand quicknet vector real+pairing-checked; envelope AND-composition only round-tripped
tlock	B	EXTERNAL	byte-exact vs genuine drand Go tle ciphertext + live-fetched quicknet beacon sig
tlsresume	A	EXTERNAL	RFC 8448 KAT byte-exact: ticket/psk-binder/earlydata/replay real vectors
tracecontext	A	MIXED	src/w3c_conformance_test.zig drives the middleware through 73 vendored W3C trace-context conformance vectors (src/w3c_vectors.zig) in both directions over the real offline wire harness; trace-id/parent-id GENERATION and childOf in root.zig have no W3C answer and stay self, as do the forward-compat and STRICT_LEVEL>=2 categories this module does not implement
traceroute	A	MIXED	canned ICMP fixtures (SELF); loopback live test skips without CAP_NET_RAW
trie	D	n/a	own frozen-index wire format (ZTR1 magic), invented in-repo, no third party
tsdb	C	n/a	embedded time-series store; row-key shape Prometheus-like but no wire interop
tz	A	MIXED	600 zones from real IANA-generated table; Jn/n forms only synthetic hand zones
